Event name,Date,Start Time,End Time,Artists,Venue,Venue Address,Venue Latitude,Venue Longitude,Event URL,Number of guests attending
Kinktastisch - Kink Positive Dance & Play Party,2025-12-20T00:00:00.000,2025-12-20T22:00:00.000,2025-12-21T06:00:00.000,,Insomnia,,52.4655581,13.3860876,/events/2067553,21
KLUBNACHT,2025-12-20T00:00:00.000,2025-12-20T23:00:00.000,2025-12-21T08:00:00.000,,AVA Club,,52.5029373,13.4473091,/events/2313424,19
RAWAX LABEL NIGHT @ Hoppetosse 20.12.25,2025-12-20T00:00:00.000,2025-12-20T23:00:00.000,2025-12-21T09:00:00.000,"Robert Drewek, Iron Curtis, Hila Max, Matt Star, Black Eyes",Hoppetosse,,52.5178179,13.2025647,/events/2313696,19
Honey Loops,2025-12-20T00:00:00.000,2025-12-20T22:00:00.000,2025-12-21T06:00:00.000,"Lasha Guruli, Lena Brumby",Paloma,,52.5141696,13.4646822,/events/2290781,17
We Love Techno,2025-12-20T00:00:00.000,2025-12-20T23:00:00.000,2025-12-21T11:00:00.000,"Kaiser Souzai, B/ANNIMALĪ, Bøgen",Der Weiße Hase,,52.5075831,13.4545322,/events/2315941,29
Public Amusement with Noti,2025-12-20T00:00:00.000,2025-12-20T23:30:00.000,2025-12-21T08:00:00.000,"Noti, Candy Jones",Paloma,,52.5141696,13.4646822,/events/2303172,15
Rhythm By Nature,2025-12-20T00:00:00.000,2025-12-20T23:59:00.000,2025-12-21T15:00:00.000,"Sevensol, Kat Davids, SaPu, Anthony Georges Patrice, Etiennette",Golden Gate,,52.5159611,13.4169199,/events/2312094,13
ROOT Artists x Orangerie,2025-12-20T00:00:00.000,2025-12-20T21:00:00.000,2025-12-21T04:00:00.000,"DJ Life, Olsvangèr, Lennart (NL), lizz.e, Lyrae",Orangerie Neukölln,,52.4708958,13.4368213,/events/2315914,14
BLOCK PARTY,2025-12-20T00:00:00.000,2025-12-20T18:00:00.000,2025-12-21T01:00:00.000,"Erika Lowin, MASCHA",Block1,,,,/events/2325184,13
Zapped,2025-12-20T00:00:00.000,2025-12-20T23:00:00.000,2025-12-21T06:00:00.000,"Scoopsi, Davibe, Annina, Jonaku (DE), Ujin, Cyko, Papa K",Mom's Limousine Service,,,,/events/2326578,13
Playground,2025-12-20T00:00:00.000,2025-12-20T13:00:00.000,2025-12-20T22:00:00.000,"Easy K, R4F4, Suzanne Dolmancé",Crack Bellmer,,52.5075865,13.4547707,/events/2323300,17
Diskohengst,2025-12-20T00:00:00.000,2025-12-20T22:00:00.000,2025-12-21T06:00:00.000,Diskohengst,Monarch,,52.4992754,13.4194716,/events/2306880,9
Beate Invites /// Sumpfkrüge,2025-12-20T00:00:00.000,2025-12-20T20:00:00.000,2025-12-21T07:00:00.000,"Nyx, diladï, francesca (DE), Cleos, Simon Simono",Beate Uwe,,52.5174812,13.419024,/events/2311134,16
Klubnacht + Afterhour,2025-12-19T00:00:00.000,2025-12-19T23:59:00.000,2025-12-20T23:59:00.000,"Vans Hellwirth, Bee Lincoln, RYBA, Ancut, Samuel Fach, bela, Lasha Guruli",Golden Gate,,52.5159611,13.4169199,/events/2312093,11
"MYSTIC TALES ABOVE THE CLOUDS w. Temple Tears, Chele, tadoh, Mona Pirzad + tba",2025-12-20T00:00:00.000,2025-12-20T18:00:00.000,2025-12-21T03:00:00.000,"Temple Tears, tadoh, Mona Pirzad",Klunkerkranich,,52.5079304,13.5292772,/events/2321252,9
SOLSTIC,2025-12-20T00:00:00.000,2025-12-20T22:00:00.000,2025-12-21T08:00:00.000,,Blue Velvet,,,,/events/2315453,8
Crush session Winter Solstice Special,2025-12-20T00:00:00.000,2025-12-20T16:00:00.000,2025-12-20T20:00:00.000,"Ina Vietha, alizé.e, Gojas, Kat Never",Kukumu,,52.5279346,13.3451727,/events/2322868,7
Süss am Samstag,2025-12-20T00:00:00.000,2025-12-20T22:00:00.000,2025-12-21T07:00:00.000,"Bruder Jakob, Qualia Trax, Kamira, BUTTCHIN",Süss War Gestern,,52.5086027,13.4610994,/events/2324420,10
DAZA & freunde,2025-12-20T00:00:00.000,2025-12-20T18:00:00.000,2025-12-21T06:00:00.000,DAZA,Minimal Bar,,52.5164827,13.4639097,/events/2293523,6
LIMAX - Naked Electronic Dance,2025-12-20T00:00:00.000,2025-12-20T23:00:00.000,2025-12-21T06:30:00.000,,Pfeilerhalle,,,,/events/2304053,7
Pornoparty,2025-12-20T00:00:00.000,2025-12-20T22:00:00.000,2025-12-21T07:00:00.000,,The Cloud,,,,/events/2313764,5
EXIT RAVE w./TAKTSTÖRER - TECHNO/HARDTECHNO/TEKK,2025-12-20T00:00:00.000,2025-12-20T21:00:00.000,2025-12-21T04:00:00.000,"TAKTSTÖRER, Kimban",TBA - Exit Club Schwedt,,,,/events/2314672,4
Madame Claude's Last Call Before the Holidays,2025-12-20T00:00:00.000,2025-12-20T20:00:00.000,2025-12-21T03:00:00.000,,Madame Claude,,52.4996096,13.4374056,/events/2315860,5
Final DEPECHE MODE Church Night 2025,2025-12-20T00:00:00.000,2025-12-20T22:30:00.000,2025-12-21T05:00:00.000,,Heilig-Kreuz-Kirche Berlin-Kreuzberg,,52.4963881,13.3960189,/events/2315210,3
TRUSHMIX,2025-12-20T00:00:00.000,2025-12-20T22:00:00.000,2025-12-21T06:00:00.000,DJ Fett Burger,Banja Luka,,52.5005542,13.4439544,/events/2325289,3
Käptens Club Party - Disco pur,2025-12-20T00:00:00.000,2025-12-20T21:00:00.000,2025-12-21T06:00:00.000,,Hafenbar Berlin,,52.4441694,13.6272436,/events/2298712,2
Aurora Berlin - Absolutely Sweet House,2025-12-20T00:00:00.000,2025-12-20T23:00:00.000,2025-12-21T04:00:00.000,"ButchVoyage, NAIR (IN)",The Door Club,,,,/events/2323821,2
Barbarara Frey is playing at migas,2025-12-20T00:00:00.000,2025-12-20T20:00:00.000,2025-12-21T01:00:00.000,,"migas, a listening bar",,,,/events/2318933,1
Knüppel im Sack - Soliparty für den Erhalt des JK,2025-12-20T00:00:00.000,2025-12-20T22:00:00.000,2025-12-21T10:00:00.000,"Ali Rajat, LEENI, Danilo Kupfernagel, Benjie Bäm",Jonny Knüppel,,,,/events/2329785,6
Pastiche Christmas Market,2025-12-20T00:00:00.000,2025-12-20T10:00:00.000,2025-12-20T19:00:00.000,,Pastiche,,,,/events/2329888,1
Independent Tanzmusik,2025-12-20T00:00:00.000,2025-12-20T22:00:00.000,2025-12-21T04:30:00.000,,Dunckerclub,,52.546204,13.4237144,/events/2310289,1
Moon Night - Saturday,2025-12-20T00:00:00.000,2025-12-20T22:00:00.000,2025-12-21T06:00:00.000,,Soda Club,,52.5395232,13.4142448,/events/2300764,0
Sky-Bar Warmup - House & Downbeat,2025-12-20T00:00:00.000,2025-12-20T18:00:00.000,2025-12-21T02:00:00.000,,Solar,,52.5043141,13.3836872,/events/2309022,0
**How To Get Coin Master free spin 5000 2026,2025-12-20T00:00:00.000,2025-12-20T23:00:00.000,2025-12-21T06:00:00.000,,Ernst-Thälmann-Park,,52.5387445,13.4337634,/events/2326190,0
Transmission Fields,2025-12-18T00:00:00.000,2025-12-18T00:00:00.000,2025-12-27T15:30:00.000,,PR55,,52.5173885,13.3951309,/events/2329901,0
Ringelpietz Aftershow,2025-12-20T00:00:00.000,2025-12-20T13:00:00.000,2025-12-20T21:00:00.000,,Monarch,,52.4992754,13.4194716,/events/2330411,2
