title,url,address,description,detailed_date,lat,lon
Weihnachtsbeleuchtung um Kudamm mit spektakulären Licht-Motiven,https://www.gratis-in-berlin.de/heute/item/2008297-weihnachtsbeleuchtung-um-kudamm-mit-spektakulaeren-licht-motiven,Berlin Germany,,Montag 24.11.2025 bis Dienstag 06.01.2026									   - Anfangszeit: :00 Uhr,52.5173885,13.3951309
Weihnachtsmarkt Winterquartier Napoleon Komplex (täglich außer 24. & 25.12.),https://www.gratis-in-berlin.de/heute/item/2076133-weihnachtsmarkt-winterquartier-napoleon-komplex-taeglich-ausser-24-25-12,Modersohnstraße 49a 10245 Berlin,,Samstag 29.11.2025 bis Mittwoch 31.12.2025									   - Anfangszeit: :00 Uhr,52.5043491,13.4577378
Friendly Capitalism Lounge Vol. 22 (Mo-Sa 12-20 Uhr),https://www.gratis-in-berlin.de/heute/item/2075982-friendly-capitalism-lounge-vol-22-mo-sa-12-20-uhr,Rosenthaler Str. 39 10178 Berlin,,Freitag 05.12.2025 bis Samstag 10.01.2026									   - Anfangszeit: :00 Uhr,52.5244928,13.4019195
"Vera Mercer - Life in Focus ZAK Spandau Fr-Mi 10-17, Do 13-20 Uhr",https://www.gratis-in-berlin.de/heute/item/2074744-vera-mercer-life-in-focus-zak-spandau-fr-mi-10-17-do-13-20-uhr,Am Juliusturm  64 13599 Berlin,,Freitag 19.09.2025 bis Sonntag 11.01.2026									   - Anfangszeit: 19:00 Uhr,52.5410344,13.2127443
Leo Lights: Weihnachtsbeleuchtung am Leopoldplatz,https://www.gratis-in-berlin.de/heute/item/2076328-leo-lights-weihnachtsbeleuchtung-am-leopoldplatz,Leopoldplatz 13353 Berlin,,Sonntag 30.11.2025 bis Freitag 09.01.2026									   - Anfangszeit: 16:00 Uhr,52.5463833,13.3591672
Sinan Dur - Zwischen Moment und Augenblick // Malerei (Mo-Fr 10.00-18.00 Uhr),https://www.gratis-in-berlin.de/heute/item/2076078-sinan-dur-zwischen-moment-und-augenblick-malerei,Koloniestraße 120 13359 Berlin,,Freitag 28.11.2025 bis Freitag 09.01.2026									   - Anfangszeit: :10 Uhr,52.5600538,13.3796208
Fotoausstellung „Haut der Stadt“ Amtsgericht Tiergarten(Mo-Fr),https://www.gratis-in-berlin.de/heute/item/2076286-fotoausstellung-haut-der-stadt-amtsgericht-tiergarten,Kirchstr 6 10557 Berlin,,Montag 08.12.2025 bis Sonntag 08.02.2026									   - Anfangszeit: 10:18 Uhr,52.5233656,13.3488922
Relations in Place | Ausstellung im Bärenzwinger (täglich),https://www.gratis-in-berlin.de/heute/item/2075658-relations-in-place-ausstellung-im-baerenzwinger-taeglich,Rungestraße  30 10179 Berlin,,Montag 17.11.2025 bis Sonntag 25.01.2026									   - Anfangszeit: :00 Uhr,52.5125985,13.4159358
„Auf die Plätze“ Motive aus den Stadtteilen – künstlerisch gestaltet von Potsdamer Kreativen,https://www.gratis-in-berlin.de/heute/item/2075429-auf-die-plaetze-motive-aus-den-stadtteilen-kuenstlerisch-gestaltet-von-potsdamer-kreativen,Pappelallee 4 14469 Potsdam,,Freitag 07.11.2025 bis Freitag 30.01.2026									   - Anfangszeit: 09:00 Uhr,52.4105205,13.0521789
Hoffnung أﻣل - Einzelausstellung der Künstlerin Jamila Barakat,https://www.gratis-in-berlin.de/heute/item/2075988-hoffnung-einzelausstellung-der-kuenstlerin-jamila-barakat,Frankfurter Tor 1 10243 Berlin,,Donnerstag 04.12.2025 bis Sonntag 01.02.2026									   - Anfangszeit: 14:00 Uhr,52.5165034,13.4527335
Sony World Photography Awards (Di - So),https://www.gratis-in-berlin.de/heute/item/2046662-sony-world-photography-awards-di-so,Wilhelmstraße  140 10963 Berlin Germany,,Freitag 17.10.2025 bis Sonntag 18.01.2026									   - Anfangszeit: 12:00 Uhr,52.500366,13.388343
Sonderausstellung Crossfire von Jac Carley (Do - So),https://www.gratis-in-berlin.de/heute/item/2075969-sonderausstellung-crossfire-von-jac-carley-do-so,Schloßstraße 69 b 14059 Berlin,,Freitag 21.11.2025 bis Sonntag 08.02.2026									   - Anfangszeit: 14:00 Uhr,52.519077,13.297931
Moyra Davey (Di-So),https://www.gratis-in-berlin.de/heute/item/2075375-moyra-davey-di-so,Chausseestraße  128,,Samstag 06.12.2025 bis Sonntag 08.02.2026									   - Anfangszeit: :00 Uhr,52.5279522,13.3860998
Fotoausstellung - Kontroverse & Paradoxe 2,https://www.gratis-in-berlin.de/heute/item/2075317-fotoausstellung-kontroverse-paradoxe-2,Kurfürstendamm 211 10719 Berlin,,Freitag 07.11.2025 bis Samstag 14.02.2026									   - Anfangszeit: :00 Uhr,52.5020922,13.3249378
Graciela Carnevale. Pieza Bianca (Di-Fr),https://www.gratis-in-berlin.de/heute/item/2075374-graciela-carnevale-pieza-bianca-di-fr,Chausseestraße  128/129 10115 Berlin,,Samstag 06.12.2025 bis Sonntag 08.02.2026									   - Anfangszeit: :00 Uhr,52.5279121,13.3860465
"Ausstellung ""beyond tongues – Synästhetische Übertragung"" • Sarah Oh-Mock & Bongjun Oh (täglich)",https://www.gratis-in-berlin.de/heute/item/2074813-ausstellung-beyond-tongues-synaesthetische-uebertragung-sarah-oh-mock-bongjun-oh-taeglich,Karl,,Freitag 26.09.2025 bis Sonntag 08.02.2026									   - Anfangszeit: 18:00 Uhr,50.0419792,6.8028082
Nora Turato (Rund um die Uhr geöffnet),https://www.gratis-in-berlin.de/heute/item/2073358-nora-turato-rund-um-die-uhr-geoeffnet,Chausseestraße  128,,Donnerstag 11.09.2025 bis Montag 31.08.2026									   - Anfangszeit: :00 Uhr,52.5279522,13.3860998
Schachtreff,https://www.gratis-in-berlin.de/heute/item/2076421-schachtreff,Hauptstr. 40 10827 Berlin,,"Jeden Freitag
						 - Anfangszeit: 16:00 Uhr",52.4840617,13.3504669
"Nikolaisaal Potsdam - Kristine Narvida Einzelausstellung ""Studie der Zeit""",https://www.gratis-in-berlin.de/heute/item/2076402-nikolaisaal-potsdam-kristine-narvida-einzelausstellung-studie-der-zeit,Wilhelm,,Donnerstag 18.12.2025 bis Dienstag 03.03.2026									   - Anfangszeit: 12:00 Uhr,48.5326869,13.0330201
Late Night Comedy Hour (Free English Comedy Show),https://www.gratis-in-berlin.de/heute/item/2076092-late-night-comedy-hour-free-english-comedy-show,Donaustraße  112 12043 Berlin,,"Jeden Freitag
						 - Anfangszeit: 21:30 Uhr",52.4832301,13.4341503
Systemrelevant: Frauen in Herrscherfamilien (Mi - Mo),https://www.gratis-in-berlin.de/heute/item/2075913-systemrelevant-frauen-in-herrscherfamilien-mi-mo,"Humboldt Forum, Schloßplatz 10178 Berlin",,Freitag 28.11.2025 bis Montag 03.08.2026									   - Anfangszeit: 10:30 Uhr,52.5172152,13.4007352
Wechselausstellung: Ostblicke. Fotografien von Sophie Kirchner und Philipp Baumgarten (Di - So),https://www.gratis-in-berlin.de/heute/item/2070889-wechselausstellung-ostblicke-fotografien-von-sophie-kirchner-und-philipp-baumgarten-di-so,Knaackstraße 97 10435 Berlin,,Donnerstag 02.10.2025 bis Sonntag 12.04.2026									   - Anfangszeit: :00 Uhr,52.5402922,13.4140783
Trotzdem da! Kinder aus verbotenen Beziehungen zwischen Deutschen und Kriegsgefangenen oder Zwangsarbeiter*innen,https://www.gratis-in-berlin.de/heute/item/2075665-trotzdem-da-kinder-aus-verbotenen-beziehungen-zwischen-deutschen-und-kriegsgefangenen-oder-zwangsarbeiter-innen,Britzer Str.  5 12439 Berlin,,Freitag 21.11.2025 bis Sonntag 26.04.2026									   - Anfangszeit: 10:00 Uhr,52.4526094,13.5187979
Feliciano Lana. Die Geschichte der Weißen (Mi - Mo),https://www.gratis-in-berlin.de/heute/item/2071887-feliciano-lana-die-geschichte-der-weissen-mi-mo,"Humboldt Forum, Schloßplatz 10178 Berlin",,Samstag 24.05.2025 bis Montag 01.06.2026									   - Anfangszeit: 10:30 Uhr,52.5172152,13.4007352
Kreativfreitag in der Bezirkszentralbibliothek Tempelhof,https://www.gratis-in-berlin.de/heute/item/2038784-jubilaeumsfest-40-jahre-bezirkszentralbibliothek-tempelhof-schoeneberg,Götzstr. 8,,"Jeden Freitag
						 - Anfangszeit: 16:00 Uhr",51.5024231,11.9954798
Spieltreff Kreuzberg-Süd (Urbanstr.),https://www.gratis-in-berlin.de/heute/item/2002369-spieltreff-in-kreuzberg-sued-urbanstr,Urbanstrasse  21 10961 Berlin,,"Jeden Freitag
						 - Anfangszeit: 18:00 Uhr",52.4929721,13.4075946
